id,material name,T,Mo,Ni,W,Al,Cr,Ti,Si,Cu,Fe,Co,Mn,V,Zr,Hf,Ta,Nb,dm,classification
98,20Cr-18Mn-21Fe-29Co-22Ni,1000,0,20,0,0,20,0,0,0,20,20,20,0,0,0,0,0,3.91,0
98,20Cr-18Mn-21Fe-29Co-22Ni,1100,0,21.6,0,0,20,0,0,0,21,19.3,18,0,0,0,0,0,8.37,0
99,25Al-25Nb-25Ti-25Zr,700,0,0,0,25,0,25,0,0,0,0,0,0,25,0,0,25,0.554560436430202,2
99,25Al-25Nb-25Ti-25Zr,800,0,0,0,25,0,25,0,0,0,0,0,0,25,0,0,25,2.04649454380446,2
99,25Al-25Nb-25Ti-25Zr,900,0,0,0,25,0,25,0,0,0,0,0,0,25,0,0,25,3.12908260947157,1
99,25Al-25Nb-25Ti-25Zr,1000,0,0,0,25,0,25,0,0,0,0,0,0,25,0,0,25,38.8192305501141,0
100,20Ti-20Zr-20Nb-20Hf-20Ta,700,0,0,0,0,0,20,0,0,0,0,0,0,20,20,20,20,44.89,2
100,20Ti-20Zr-20Nb-20Hf-20Ta,900,0,0,0,0,0,20,0,0,0,0,0,0,20,20,20,20,28.8,2
100,20Ti-20Zr-20Nb-20Hf-20Ta,1100,0,0,0,0,0,20,0,0,0,0,0,0,20,20,20,20,45.37,0
100,20Ti-20Zr-20Nb-20Hf-20Ta,1300,0,0,0,0,0,20,0,0,0,0,0,0,20,20,20,20,240.26,2
101,18.8Ti-18.8Zr-18.8Nb-18.8Hf-18.8Ta-5.6Al,700,0,0,0,5.66037735849057,0,18.8679245283019,0,0,0,0,0,0,18.8679245283019,18.8679245283019,18.8679245283019,18.8679245283019,8.5,2
101,18.8Ti-18.8Zr-18.8Nb-18.8Hf-18.8Ta-5.6Al,900,0,0,0,5.66037735849057,0,18.8679245283019,0,0,0,0,0,0,18.8679245283019,18.8679245283019,18.8679245283019,18.8679245283019,13.7,2
101,18.8Ti-18.8Zr-18.8Nb-18.8Hf-18.8Ta-5.6Al,1100,0,0,0,5.66037735849057,0,18.8679245283019,0,0,0,0,0,0,18.8679245283019,18.8679245283019,18.8679245283019,18.8679245283019,27.37,2
101,18.8Ti-18.8Zr-18.8Nb-18.8Hf-18.8Ta-5.6Al,1300,0,0,0,5.66037735849057,0,18.8679245283019,0,0,0,0,0,0,18.8679245283019,18.8679245283019,18.8679245283019,18.8679245283019,244.79,2
102,18.2Ti-18.2Zr-18.2Nb-18.2Hf-18.2Ta-9Al,700,0,0,0,9.09090909090909,0,18.1818181818182,0,0,0,0,0,0,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182,6.33,2
102,18.2Ti-18.2Zr-18.2Nb-18.2Hf-18.2Ta-9Al,900,0,0,0,9.09090909090909,0,18.1818181818182,0,0,0,0,0,0,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182,11.8,2
102,18.2Ti-18.2Zr-18.2Nb-18.2Hf-18.2Ta-9Al,1100,0,0,0,9.09090909090909,0,18.1818181818182,0,0,0,0,0,0,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182,24.21,2
102,18.2Ti-18.2Zr-18.2Nb-18.2Hf-18.2Ta-9Al,1300,0,0,0,9.09090909090909,0,18.1818181818182,0,0,0,0,0,0,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182,246.29,2
103,17.4Ti-17.4Zr-17.4Nb-17.4Hf-17.4Ta-13Al,700,0,0,0,13.0434782608696,0,17.3913043478261,0,0,0,0,0,0,17.3913043478261,17.3913043478261,17.3913043478261,17.3913043478261,5.79,2
103,17.4Ti-17.4Zr-17.4Nb-17.4Hf-17.4Ta-13Al,900,0,0,0,13.0434782608696,0,17.3913043478261,0,0,0,0,0,0,17.3913043478261,17.3913043478261,17.3913043478261,17.3913043478261,11.3,2
103,17.4Ti-17.4Zr-17.4Nb-17.4Hf-17.4Ta-13Al,1100,0,0,0,13.0434782608696,0,17.3913043478261,0,0,0,0,0,0,17.3913043478261,17.3913043478261,17.3913043478261,17.3913043478261,22.37,2
103,17.4Ti-17.4Zr-17.4Nb-17.4Hf-17.4Ta-13Al,1300,0,0,0,13.0434782608696,0,17.3913043478261,0,0,0,0,0,0,17.3913043478261,17.3913043478261,17.3913043478261,17.3913043478261,219.16,2
104,16.7Ti-16.7Zr-16.7Nb-16.7Hf-16.7Ta-16.7Al,700,0,0,0,16.6666666666667,0,16.6666666666667,0,0,0,0,0,0,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,3.98,2
104,16.7Ti-16.7Zr-16.7Nb-16.7Hf-16.7Ta-16.7Al,900,0,0,0,16.6666666666667,0,16.6666666666667,0,0,0,0,0,0,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10.2,2
104,16.7Ti-16.7Zr-16.7Nb-16.7Hf-16.7Ta-16.7Al,1100,0,0,0,16.6666666666667,0,16.6666666666667,0,0,0,0,0,0,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,19.37,2
104,16.7Ti-16.7Zr-16.7Nb-16.7Hf-16.7Ta-16.7Al,1300,0,0,0,16.6666666666667,0,16.6666666666667,0,0,0,0,0,0,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,213.13,2
105,IN617,800,5.8653070970054,53.7633077639263,0,2.44086701915077,24.1023265575253,0.626275090440002,0.165171452423737,0.045164069022116,1.19749303007209,11.2974473941693,0.0630654636527,0,0,0,0,0,0.079156806403493,0
105,IN617,900,5.8653070970054,53.7633077639263,0,2.44086701915077,24.1023265575253,0.626275090440002,0.165171452423737,0.045164069022116,1.19749303007209,11.2974473941693,0.0630654636527,0,0,0,0,0,2.43243243243243,2
105,IN617,1100,5.8653070970054,53.7633077639263,0,2.44086701915077,24.1023265575253,0.626275090440002,0.165171452423737,0.045164069022116,1.19749303007209,11.2974473941693,0.0630654636527,0,0,0,0,0,15.1013513513513,2
106,HK30,1000,0,20.1174248508489,0,0,25.7394034961982,0,2.357669511718,0,49.3833526475265,0,1.55034631528123,0,0,0,0,0.851803178427147,0.72,2
106,HK30,1100,0,20.1174248508489,0,0,25.7394034961982,0,2.357669511718,0,49.3833526475265,0,1.55034631528123,0,0,0,0,0.851803178427147,1.11,2
